chrom,snp1.cl,snp2.cl,snp1.timeseg,snp2.timeseg,p,Rsq,flip,same,ID,Name,fullname,EntrezGene
2L,168,2160,Timepoint 1 --> 2,Timepoint 1 --> 5,1.08801075008292e-45,0.338984997756384,0,55,FBgn0024290,Slob,Slowpoke binding protein,34039
2L,168,2160,Timepoint 1 --> 2,Timepoint 1 --> 5,1.08801075008292e-45,0.338984997756384,0,55,FBgn0025687,LKR,lysine ketoglutarate reductase,34064
2L,168,2160,Timepoint 1 --> 2,Timepoint 1 --> 5,1.08801075008292e-45,0.338984997756384,0,55,FBgn0031902,Wnt6,Wnt6,34010
2L,168,2160,Timepoint 1 --> 2,Timepoint 1 --> 5,1.08801075008292e-45,0.338984997756384,0,55,FBgn0031903,Wnt10,Wnt10,34011
2L,168,2160,Timepoint 1 --> 2,Timepoint 1 --> 5,1.08801075008292e-45,0.338984997756384,0,55,FBgn0031914,CG5973,,34023
2L,168,2160,Timepoint 1 --> 2,Timepoint 1 --> 5,1.08801075008292e-45,0.338984997756384,0,55,FBgn0031944,CG7196,,34057
2L,168,2160,Timepoint 1 --> 2,Timepoint 1 --> 5,1.08801075008292e-45,0.338984997756384,0,55,FBgn0031945,CG7191,,34058
2L,168,2160,Timepoint 1 --> 2,Timepoint 1 --> 5,1.08801075008292e-45,0.338984997756384,0,55,FBgn0031947,CG7154,,34062
2L,168,2160,Timepoint 1 --> 2,Timepoint 1 --> 5,1.08801075008292e-45,0.338984997756384,0,55,FBgn0031948,CG7149,,34063
2L,168,2160,Timepoint 1 --> 2,Timepoint 1 --> 5,1.08801075008292e-45,0.338984997756384,0,55,FBgn0031950,Herp,Homocysteine-induced endoplasmic reticulum protein,34065
2L,168,2160,Timepoint 1 --> 2,Timepoint 1 --> 5,1.08801075008292e-45,0.338984997756384,0,55,FBgn0031972,Wwox,WW domain containing oxidoreductase,34090
2L,168,2160,Timepoint 1 --> 2,Timepoint 1 --> 5,1.08801075008292e-45,0.338984997756384,0,55,FBgn0031981,CG7466,,34099
2L,168,2160,Timepoint 1 --> 2,Timepoint 1 --> 5,1.08801075008292e-45,0.338984997756384,0,55,FBgn0040299,Myo28B1,Myo28B1,53515
2L,168,2160,Timepoint 1 --> 2,Timepoint 1 --> 5,1.08801075008292e-45,0.338984997756384,0,55,FBgn0041181,TepIII,Thiolester containing protein III,34045
2L,168,2160,Timepoint 1 --> 2,Timepoint 1 --> 5,1.08801075008292e-45,0.338984997756384,0,55,FBgn0085403,Rapgap1,Rapgap1,34032
2L,168,2160,Timepoint 1 --> 2,Timepoint 1 --> 5,1.08801075008292e-45,0.338984997756384,0,55,FBgn0085450,Snoo,Sno oncogene,5740414
2L,168,2160,Timepoint 1 --> 2,Timepoint 1 --> 5,1.08801075008292e-45,0.338984997756384,0,55,FBgn0260486,CG42533,,34030
3L,618,3028,Timepoint 2 --> 3,Timepoint 1 --> 5,1.83268844494267e-54,0.414720730015753,0,96,FBgn0003292,rt,rotated abdomen,39297
3L,618,3028,Timepoint 2 --> 3,Timepoint 1 --> 5,1.83268844494267e-54,0.414720730015753,0,96,FBgn0015278,Pi3K68D,Phosphotidylinositol 3 kinase 68D,39329
3L,618,3028,Timepoint 2 --> 3,Timepoint 1 --> 5,1.83268844494267e-54,0.414720730015753,0,96,FBgn0036173,CG7394,,39294
3L,618,3028,Timepoint 2 --> 3,Timepoint 1 --> 5,1.83268844494267e-54,0.414720730015753,0,96,FBgn0036179,CG7368,,39301
3L,618,3028,Timepoint 2 --> 3,Timepoint 1 --> 5,1.83268844494267e-54,0.414720730015753,0,96,FBgn0036181,Muc68Ca,Mucin 68Ca,2768980
3L,618,3028,Timepoint 2 --> 3,Timepoint 1 --> 5,1.83268844494267e-54,0.414720730015753,0,96,FBgn0036184,PCID2,PCI domain-containing protein 2,39306
3L,618,3028,Timepoint 2 --> 3,Timepoint 1 --> 5,1.83268844494267e-54,0.414720730015753,0,96,FBgn0036186,CG6071,,39308
3L,618,3028,Timepoint 2 --> 3,Timepoint 1 --> 5,1.83268844494267e-54,0.414720730015753,0,96,FBgn0036191,Sug,Sug,39314
3L,618,3028,Timepoint 2 --> 3,Timepoint 1 --> 5,1.83268844494267e-54,0.414720730015753,0,96,FBgn0036202,CG6024,,39325
3L,618,3028,Timepoint 2 --> 3,Timepoint 1 --> 5,1.83268844494267e-54,0.414720730015753,0,96,FBgn0036203,Muc68D,Mucin 68D,39326
3L,618,3028,Timepoint 2 --> 3,Timepoint 1 --> 5,1.83268844494267e-54,0.414720730015753,0,96,FBgn0036204,Tim13,Tim13,39327
3L,618,3028,Timepoint 2 --> 3,Timepoint 1 --> 5,1.83268844494267e-54,0.414720730015753,0,96,FBgn0036211,CG5946,,39336
3L,618,3028,Timepoint 2 --> 3,Timepoint 1 --> 5,1.83268844494267e-54,0.414720730015753,0,96,FBgn0041231,Gr68a,Gustatory receptor 68a,39324
3L,618,3028,Timepoint 2 --> 3,Timepoint 1 --> 5,1.83268844494267e-54,0.414720730015753,0,96,FBgn0042138,CG18815,,59176
3L,618,3028,Timepoint 2 --> 3,Timepoint 1 --> 5,1.83268844494267e-54,0.414720730015753,0,96,FBgn0052085,CG32085,,39311
3L,618,3028,Timepoint 2 --> 3,Timepoint 1 --> 5,1.83268844494267e-54,0.414720730015753,0,96,FBgn0052091,CG32091,,39307
3L,618,3028,Timepoint 2 --> 3,Timepoint 1 --> 5,1.83268844494267e-54,0.414720730015753,0,96,FBgn0259140,CG42255,,39334
3L,691,3053,Timepoint 2 --> 3,Timepoint 1 --> 5,7.65177689063815e-51,0.495161342295211,0,19,FBgn0023095,caps,capricious,39493
3L,691,3053,Timepoint 2 --> 3,Timepoint 1 --> 5,7.65177689063815e-51,0.495161342295211,0,19,FBgn0036343,CG14115,,39487
3R,1201,3240,Timepoint 2 --> 3,Timepoint 1 --> 5,8.2933454423709e-15,0.120549581740335,0,14,FBgn0002306,sas,stranded at second,40861
3R,1201,3240,Timepoint 2 --> 3,Timepoint 1 --> 5,8.2933454423709e-15,0.120549581740335,0,14,FBgn0015568,alpha-Est1,alpha-Esterase-1,40909
3R,1201,3240,Timepoint 2 --> 3,Timepoint 1 --> 5,8.2933454423709e-15,0.120549581740335,0,14,FBgn0015570,alpha-Est2,alpha-Esterase-2,40908
3R,1201,3240,Timepoint 2 --> 3,Timepoint 1 --> 5,8.2933454423709e-15,0.120549581740335,0,14,FBgn0051146,Nlg1,Neuroligin 1,40913
3R,1201,3240,Timepoint 2 --> 3,Timepoint 1 --> 5,8.2933454423709e-15,0.120549581740335,0,14,FBgn0083963,CG34127,,40912
3R,1201,3240,Timepoint 2 --> 3,Timepoint 1 --> 5,8.2933454423709e-15,0.120549581740335,0,14,FBgn0261393,alpha-Est5,alpha-Esterase-5,40905
3R,1438,1429,Timepoint 3 --> 4,Timepoint 4 --> 5,2.21181727330432e-12,0.106475875300486,13,0,FBgn0000246,c(3)G,crossover suppressor on 3 of Gowen,47765
3R,1438,1429,Timepoint 3 --> 4,Timepoint 4 --> 5,2.21181727330432e-12,0.106475875300486,13,0,FBgn0003117,pnr,pannier,44849
3R,1438,1429,Timepoint 3 --> 4,Timepoint 4 --> 5,2.21181727330432e-12,0.106475875300486,13,0,FBgn0003507,srp,serpent,41944
